id,hic_lab_or,hic_tp_pct,hic_tp_cat,hic_tp_num,hic_p_tn,hic_np_tn,hic_pp_tn,area_ha,id_pk,HIC_1,HIC_2,hic_num_t,HIC_3,HIC_4,HIC_5,HIC_6,area_m2
159417,"1430_55,22600_25,15100_25,2230_5,14200_1","1430_55,1420_1,2260_25,1510_25,2230_5","1430,1420,2260,1510*,2230",5,1,4,2,4522.175000010000076,840904,1430_55,22600_25,5,15100_25,2230_5,14200_1,,4525.644
137384,"1210_62,15100_25,2210_12","1510_25,1210_62,2210_12","1510*,1210,2210",3,1,2,1,1043.234999990000006,841000,1210_62,15100_25,3,2210_12,,,,1043.785
161332,"15101_100,14101_100","1410_100,1510_100","1410,1510*",2,1,1,0,563.975000004080357,840933,15101_100,14101_100,2,,,,,564.419
137387,"1210_62,15100_25,2210_12","1510_25,2210_12,1210_62","1510*,2210,1210",3,1,2,1,76331.759999999994761,840943,1210_62,15100_25,3,2210_12,,,,46459.740
161333,"15101_100,14101_100","1410_100,1510_100","1410,1510*",2,1,1,0,4160.769999969999844,840978,15101_100,14101_100,2,,,,,4164.046
161330,"15101_100,13101_10","1310_10,1510_100","1310,1510*",2,1,1,0,51906.805000000007567,841120,15101_100,13101_10,2,,,,,51947.631
774947,"92D00_0,1430_0,15100_0","1430_0,1510_0,92D0_0","1430,1510*,92D0",3,1,2,0,3719.684999980000157,841245,92D00_0,1430_0,3,15100_0,,,,3722.253
125262,"92D00_30,1430_20,15100_15","1510_15,92D0_30,1430_20","1510*,92D0,1430",3,1,2,0,12232.350000000000364,841226,92D00_30,1430_20,3,15100_15,,,,2618.371
162061,"15101_25,14201_5","1510_25,1420_5","1510*,1420",2,1,1,0,21104.290000000000873,841242,15101_25,14201_5,2,,,,,21120.894
162387,"15101_50,14101_20","1410_20,1510_50","1410,1510*",2,1,1,0,2562.434999999999945,841260,15101_50,14101_20,2,,,,,2564.402
161250,"15100_5,1430_5,14200_5","1430_5,1510_5,1420_5","1430,1510*,1420",3,1,2,0,5397.210000000000036,841313,15100_5,1430_5,3,14200_5,,,,5401.358
161239,15100_25,1510_25,1510*,1,1,0,0,75899.014999999999418,841531,15100_25,,1,,,,,75939.244
37682,"15101_25,14201_5","1420_5,1510_25","1420,1510*",2,1,1,0,960.880000001932785,841436,15101_25,14201_5,2,,,,,954.269
161199,15100_25,1510_25,1510*,1,1,0,0,1134.210000009999931,841383,15100_25,,1,,,,,1134.807
141558,"14101_100,15101_50,13101_10","1410_100,1510_50,1310_10","1410,1510*,1310",3,1,2,0,4461.885000000000218,841505,14101_100,15101_50,3,13101_10,,,,4465.399
161859,15101_25,1510_25,1510*,1,1,0,0,11092.125000099998942,841432,15101_25,,1,,,,,11098.104
161904,15101_25,1510_25,1510*,1,1,0,0,790.890000001902308,841553,15101_25,,1,,,,,791.318
141545,"14101_100,1430_55,15101_25,14201_5","1510_25,1420_5,1410_100,1430_55","1510*,1420,1410,1430",4,1,3,0,307.369999999140873,841568,14101_100,1430_55,4,15101_25,14201_5,,,307.606
161331,"15101_100,14101_100","1510_100,1410_100","1510*,1410",2,1,1,0,647.434999998435501,841650,15101_100,14101_100,2,,,,,647.945
161335,"15101_100,14101_100","1410_100,1510_100","1410,1510*",2,1,1,0,195411.510000000009313,841685,15101_100,14101_100,2,,,,,195565.238
168385,"2210_30,15100_10","2210_30,1510_10","2210,1510*",2,1,1,1,69247.255000000004657,841754,2210_30,15100_10,2,,,,,35775.338
162382,15101_50,1510_50,1510*,1,1,0,0,27426.514999999999418,841898,15101_50,,1,,,,,25150.080
161247,15100_5,1510_5,1510*,1,1,0,0,1690.740000000000009,841907,15100_5,,1,,,,,1691.638
37311,"1430_0,15100_0","1430_0,1510_0","1430,1510*",2,1,1,0,2949.369999989999997,841947,1430_0,15100_0,2,,,,,2951.406
160287,"1430_75,15100_25","1430_75,1510_25","1430,1510*",2,1,1,0,23503.724999999998545,841931,1430_75,15100_25,2,,,,,23225.078
161903,15101_25,1510_25,1510*,1,1,0,0,2340.585000009999931,842073,15101_25,,1,,,,,2341.849
161901,15101_25,1510_25,1510*,1,1,0,0,69144.949999999997090,842011,15101_25,,1,,,,,69182.241
125366,"92D00_40,15100_15,1430_10","1510_15,92D0_40,1430_10","1510*,92D0,1430",3,1,2,0,18837.400000000001455,842012,92D00_40,15100_15,3,1430_10,,,,18850.408
34119,"1210_62,15100_25,2230_15,2210_12","2230_15,1510_25,1210_62,2210_12","2230,1510*,1210,2210",4,1,3,2,5187.524999999999636,842302,1210_62,15100_25,4,2230_15,2210_12,,,5190.256
122795,"92D00_100,15101_50,14201_5","92D0_100,1510_50,1420_5","92D0,1510*,1420",3,1,2,0,19253.674999999999272,842187,92D00_100,15101_50,3,14201_5,,,,19268.449
161337,"15101_100,14101_100","1410_100,1510_100","1410,1510*",2,1,1,0,16803.869999999998981,842219,15101_100,14101_100,2,,,,,16817.107
158755,"1430_40,15100_15","1510_15,1430_40","1510*,1430",2,1,1,0,145410.734999999986030,842284,1430_40,15100_15,2,,,,,101601.562
161232,"15100_100,1430_60,22600_25,2230_5","2230_5,2260_25,1510_100,1430_60","2230,2260,1510*,1430",4,1,3,2,1294.464999999999918,842297,15100_100,1430_60,4,22600_25,2230_5,,,1295.501
141288,"14100_100,15100_25","1410_100,1510_25","1410,1510*",2,1,1,0,55702.510000000002037,842396,14100_100,15100_25,2,,,,,55731.922
37310,"1430_0,15100_0","1510_0,1430_0","1510*,1430",2,1,1,0,5912.869999999999891,842416,1430_0,15100_0,2,,,,,5916.954
161340,"15101_100,14101_100,13101_10","1510_100,1410_100,1310_10","1510*,1410,1310",3,1,2,0,7514.409999999999854,842525,15101_100,14101_100,3,13101_10,,,,7520.328
525467,"62201_72,1430_50,15101_25","1510_25,1430_50,6220_72","1510*,1430,6220*",3,2,1,0,6326.404999999999745,842799,62201_72,1430_50,3,15101_25,,,,6331.279
423970,"62201_100,53305_12,15101_5,1430_5","1430_5,6220_100,5330_12,1510_5","1430,6220*,5330,1510*",4,2,2,0,11102.739999999999782,843160,62201_100,53305_12,4,15101_5,1430_5,,,11108.759
158289,"1430_100,62201_72,15101_25","6220_72,1430_100,1510_25","6220*,1430,1510*",3,2,1,0,820.715000007053391,843270,1430_100,62201_72,3,15101_25,,,,821.345
158290,"1430_100,62201_72,15101_25","6220_72,1510_25,1430_100","6220*,1510*,1430",3,2,1,0,3235.409999999999854,843224,1430_100,62201_72,3,15101_25,,,,3237.894
503215,"62201_50,14201_25,15101_25","1510_25,6220_50,1420_25","1510*,6220*,1420",3,2,1,0,147.314999999486616,843287,62201_50,14201_25,3,15101_25,,,,147.429
158254,"1430_100,62201_72,15101_25","1430_100,1510_25,6220_72","1430,1510*,6220*",3,2,1,0,340.500000002176932,843364,1430_100,62201_72,3,15101_25,,,,340.762
529218,"62201_72,15100_50,14200_5","6220_72,1510_50,1420_5","6220*,1510*,1420",3,2,1,0,5909.929999979999593,843569,62201_72,15100_50,3,14200_5,,,,5913.079
